Company Name,Pitch Year,Industry Served (organized),State Headquartered,Princeton Connection? (Binary),Total Amount Currently Raising,Amount Already Closed of the Total Currently Raising,[Gender] Does anyone on your founding team identify as:,[Race/Ethnicity] Does anyone on your founding team identify as:,Has anyone on your founding team ever served on active duty?
"GigKloud, Inc.",2019,Other,New York,No,500000,0,,,
"Nix, Inc.",2019,Healthcare Technologies,Massachusetts,No,2500000,550000,,,
"Monte Sereno Ventures, West Africa Limited (MSV)",2019,Food & Drink,Maryland,Yes,500000,0,,,
"Concarlo Holdings, LLC",2019,Healthcare Technologies,New York,Yes,3000000,600000,,,
"Social Dining, Inc.",2019,Travel,Massachusetts,Yes,2250000,750000,,,
WAVE Systems LLC,2019,Other,Connecticut,Yes,400000,250000,,,
Emergent Elements Inc.,2019,Energy & CleanTech,New York,Yes,650000,0,,,
"Cecelia Health, Inc.",2019,Healthcare Technologies,New York,Yes,3000000,0,,,
Foody.com.co,2019,Food & Drink,Colombia,Yes,2000000,780000,,,
Boonan Inc/Onehot Inc,2019,Consumer Services,New York,Yes,600000,0,,,
UPROOT,2019,FinTech,New Jersey,Yes,400000,0,,,
Hiki,2019,Communication Services,New York,Yes,500000,350000,,,
Plump Plum Company,2019,Retail,New York,Yes,2000000,100000,,,
ALEX.fyi LLC,2019,Insurance,New York,Yes,2000000,0,,,
"Snakt, Inc.",2019,Other,New York,Yes,350000,100000,,,
"WellPower Technologies, Inc.",2019,Other,New Jersey,Yes,250000,15000,,,
Acadia Media LLC,2019,Media & Entertainment,California,Yes,6000000,50000,,,
Geopipe,2019,Automobile,New York,Yes,500000,275000,,,
Tail Risk LLC,2019,FinTech,New York,Yes,400000,10000,,,
Reclaim Energies,2019,Energy & CleanTech,New Jersey,Yes,200000,0,,,
3Diligent Corporation,2019,Manufacturing,California,Yes,1100000,810000,,,
iissllaanndd inc.,2019,Social Media,California,Yes,300000,0,,,
Instrumems Inc.,2019,Healthcare Technologies,California,Yes,5000000,2200000,,,
Craevotieous Inc.,2019,Other,New York,Yes,500000,50000,,,
Humbled Media,2019,Other,New York,Yes,1500000,0,,,
Camino Travel Inc.,2019,Food & Drink,California,Yes,200000,0,,,
Lifesaver,2019,FinTech,New York,Yes,250000,295000,,,
QOR360,2019,Other,Vermont,Yes,500000,0,,,
StrattyX INC,2019,FinTech,Massachusetts,Yes,2000000,150000,,,
One Done Inc,2019,Cleaning Services,New York,No,150000,20000,,,
BoxPower Inc.,2019,Energy & CleanTech,California,Yes,1000000,700000,,,
Oleum Naturals Inc.,2019,Other,New York,Yes,2000000,0,,,
"The Good Earth Organics, Inc.",2019,Agricultural Technology,Oregon,No,1500000,750000,,,
Forktrotter,2020,Food & Drink,New Jersey,Yes,500000,0,,,
"52 Capital Partners, LLC",2020,Financial Services,California,Yes,1000000,0,,,
locai solutions,2020,Other,Colorado,Yes,2000000,860000,,,
Carpe Diem Social LLC,2020,Communication Services,"Washington, D.C.",Yes,500000,0,Female,"African-American / Black, East Asian, Middle Eastern",No
Medsix,2020,Healthcare Technologies,Massachusetts,No,100000,500000,Male,South Asian,No
"eino, Inc.",2020,Other,New York,Yes,1800000,0,Male,Persian,No
"ArroSocial, Inc.",2020,Social Media,New Jersey,Yes,500000,30000,"Female, Male","South Asian, White",No
Petra Power,2020,Transportation,Ohio,Yes,2000000,0,"Male, Prefer Not to Say","Hispanic/Latinx, White",No
BoardSeatMeet Inc,2020,Energy & CleanTech,California,Yes,500000,80000,"Female, Male","East Asian, South Asian",No
Chinah USA LLC,2020,Food & Drink,New Jersey,Yes,1200000,500000,Male,East Asian,No
"C. Light Technologies, Inc.",2020,Healthcare Technologies,California,No,1250000,0,Female,White,No
"Lottery Now, Inc",2020,FinTech,California,Yes,2000000,250000,Male,White,No
Parsec Media Inc.,2020,Advertising Technology,New York,Yes,2000000,300000,"Female, Male","None of the above (please specify in ""Other"")",No
ATTORNEY ET AL INC,2020,Social Media,California,No,1060000,20000,Male,"American Indian/Alaskan Native, Middle Eastern, White",No
Tassat Group LLC,2020,FinTech,N/A,Yes,25000000,12000000,Male,"None of the above (please specify in ""Other"")",No
"Orthobond Spine, LLC",2020,Healthcare Technologies,New Jersey,Yes,5000000,350000,"Female, Male",White,No
GrowSquares Inc.,2020,Agricultural Technology,New York,Yes,2000000,1100000,Male,African-American / Black,No
PhysioCue,2020,Healthcare Technologies,California,No,1000000,3000000,Male,East Asian,No
ExamD,2020,EdTech,New Jersey,No,400000,0,Male,Southeast Asian,No
nanopathdx LLC,2020,Healthcare Technologies,New Hampshire,Yes,100000,6000,Female,South Asian,No
"Forsight, inc.",2020,Manufacturing,California,Yes,250000,225000,Male,White,No
Ravyn Technology Corporation,2020,GovTech,California,Yes,0,0,Male,"South Asian, White",No
"My Game Changer, Inc.",2020,eCommerce,Connecticut,Yes,1500000,0,Female,White,No
